Date,CampaignName,AdNetworkType,LocationOfPresenceName,Impressions,Clicks,Ctr,Cost,AvgCpc,Conversions,CostPerConversion,BounceRate
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Абакан,1,0,0.00,0.00,--,0,--,100.00
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Абинск,2,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Авиловское сельское поселение,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Алейск,2,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Александров,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Александровское,2,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Александровское,2,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Алексеевская,4,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Алексеевский район,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Алексеевский район,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Алушта,2,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Альмухаметовский сельсовет,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Альшеевский район,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Анапа,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Анапская,1,0,0.00,0.00,--,0,--,--
2026-04-16,orto-fit.ru от 31.03.26,AD_NETWORK,Андреаполь,1,0,0.00,0.00,--,0,--,--
